nama,kelas,energy_low,energy_high,energy_total,ratio_lh
tomat sehat 1,tomat sehat,55510673915904.0,1297838899200.0,56808512815104.0,42.771621308408385
tomat sehat 2,tomat sehat,56868852465664.0,1399238688768.0,58268091154432.0,40.642710155288675
tomat sehat 3,tomat sehat,44859746418688.0,1320637956096.0,46180384374784.0,33.96823952516101
tomat sehat 4,tomat sehat,48588600115200.0,314654031872.0,48903254147072.0,154.4191244781686
tomat sehat 5,tomat sehat,64988131622912.0,1517545193472.0,66505676816384.0,42.824511521943734
tomat sehat 6,tomat sehat,59955004571648.0,1217544978432.0,61172549550080.0,49.24253775729937
tomat sehat 7,tomat sehat,46980076142592.0,596083408896.0,47576159551488.0,78.8146011807363
tomat sehat 8,tomat sehat,47789165772800.0,1220772888576.0,49009938661376.0,39.146647357597224
tomat sehat 9,tomat sehat,55798067625984.0,1248090521600.0,57046158147584.0,44.70674735551489
tomat sehat 10,tomat sehat,66449657823232.0,524350423040.0,66974008246272.0,126.72757549804227
tomat leafmold 1,tomat leafmold,55769844154368.0,294180552704.0,56064024707072.0,189.57692356531388
tomat leafmold 2,tomat leafmold,73727618318336.0,789274099712.0,74516892418048.0,93.4119317297231
tomat leafmold 3,tomat leafmold,68090582794240.0,590998011904.0,68681580806144.0,115.21287960829966
tomat leafmold 4,tomat leafmold,75265963196416.0,842511679488.0,76108474875904.0,89.33521638792666
tomat leafmold 5,tomat leafmold,51237219205120.0,299460329472.0,51536679534592.0,171.09852011269746
tomat leafmold 6,tomat leafmold,56010853056512.0,503483531264.0,56514336587776.0,111.24664378971094
tomat leafmold 7,tomat leafmold,52240005988352.0,297094938624.0,52537100926976.0,175.83606853183844
tomat leafmold 8,tomat leafmold,49165543407616.0,608287326208.0,49773830733824.0,80.82618408985913
tomat leafmold 9,tomat leafmold,53134684585984.0,214746824704.0,53349431410688.0,247.4294307225409
tomat leafmold 10,tomat leafmold,46233322258432.0,259603333120.0,46492925591552.0,178.09217509954289
